Partial,Newly Added,Deleted
IOPMrootDomain::start(IOService *),vzeroall,
nfs4_setlock_rpc,xmmzeroall,OPMrootDomain::evaluateWranglerAssertions(void)
nfs4_unlock_rpc,,
nfs4_getlock_rpc,thread_fpsimd_hash,
nfs_gss_clnt_cred_put,fpsimd_pop,
hibernate_machine_init,necp_get_parent_cred_result,
nfs4_delegreturn_rpc,IOKitKernelLogBuffer,
necp_application_find_policy_match_internal,getCpuInterruptDelayHolderName,
nfs4_secinfo_rpc,,
nfs3_setattr_rpc,,
fpu_thread_promote_avx512,,
nfs3_umount_rpc,,
nfs3_access_rpc,,
rpc_gss_integ_data_create,,
nfs3_fsinfo,,
nfs_gss_svc_verf_put,,
nfs3_pathconf_rpc,,
nfs4_setattr_rpc,,
nfsm_chain_add_string_nfc,,
nfs4_close_rpc,,
nfs4_open_downgrade_rpc,,
nfs3_vnop_create,,
nfs4_get_fs_locations,,
acpi_idle_kernel,,
nfs4_setclientid,,
nfs4_commit_rpc,,
nfsm_chain_get_path_namei,,
nfs4_access_rpc,,
nfs3_read_rpc_async,,
nfs4_open_confirm_rpc,,
nfs3_update_statfs,,
nfs4_open_rpc_internal,,
nfs4_lookup_rpc_async,,
nfs4_pathconf_rpc,,
nfs_gss_svc_cred_get,,
nfs4_update_statfs,,
nfs4_write_rpc_async,,
nfs4_read_rpc_async,,
nfs4_create_rpc,,
nfs4_getquota,,
nfs4_getattr_rpc,,
nfs4_rename_rpc,,
nfs4_vnop_link,,
nfs4_open_reclaim_rpc,,
nfs3_remove_rpc,,
nfs4_claim_delegated_open_rpc,,
nfs3_commit_rpc,,
nfs_portmap_lookup,,
nfs4_named_attr_dir_get,,
nfs_gss_clnt_ctx_init_retry,,
nfsrv_readdir,,
nfs3_vnop_link,,
nfs4_readdir_rpc,,
nfs3_lookup_rpc_async,,
nfs3_getquota,,
nfsrv_getattr,,
nfs3_write_rpc_async,,
nfs_gss_svc_ctx_init,,
nfs3_vnop_symlink,,
nfs4_mount_update_path_with_symlink,,
nfs3_vnop_rmdir,,
necp_socket_fillout_info_locked,,
nfsrv_remove,,
nfs4_readlink_rpc,,
init_fpu,,
nfs4_named_attr_get,,
fpnoextflt,,
nfs4_remove_rpc,,
nfs3_readlink_rpc,,
nfs3_mount_rpc,,
pmGetMyLogicalCPU,,
fpu_module_init,,
machine_thread_switch_addrmode,,
"IOSharedDataQueue::enqueue(void *,unsigned int)",,
mptcp_ctloutput,,
nfsrv_commit,,
nfsrv_fsinfo,,
"IODataQueue::enqueue(void *,unsigned int)",,
fp_load,,
nfs4_lookup_rpc_async_finish,,
nfs4_mount,,
ucode_interface,,
necp_policy_apply,,
nfs3_vnop_mknod,,
fpu_switch_addrmode,,
nfs3_rename_rpc,,
nfs3_getattr_rpc,,
kernel_trap,,
nfs3_vnop_mkdir,,
nfs4_cb_handler,,
nfsrv_writegather,,
nfsrv_access,,
IOService::terminateWorker(unsigned int),,
nfs4_parsefattr,,
nfsrv_rmdir,,
nfsrv_write,,
nfsrv_readdirplus,,
nfsrv_read,,
nfsm_chain_get_secinfo,,
nfsrv_mkdir,,
nfsm_chain_get_fh_attr,,
mptcp_sopt_insert,,
nfsrv_symlink,,
nfs_dir_buf_search,,
nfsm_chain_add_fattr4_f,,
"IOTimerEventSource::setTimeout(unsigned int,unsigned long long,unsigned long long)",,
nfsrv_lookup,,
fpu_switch_context,,
nfsrv_create,,
nfs3_lookup_rpc_async_finish,,
nfs_gss_clnt_verf_get,,
nfsrv_setattr,,
nfsrv_rename,,
"IOPMrootDomain::tagPowerPlaneService(IOService *,IOPMActions *)",,
nfsrv_readlink,,
nfsrv_pathconf,,
nfsrv_link,,
nfsrv_statfs,,
mptcp_sopt_find,,
necp_kernel_ip_output_policy_add,,
fpinit,,
nfsrv_mknod,,
nfs3_readdir_rpc,,
"IOPMrootDomain::displayWranglerMatchPublished(void *,void *,IOService *,IONotifier *)",,
reboot_kernel,,
